date	CPU	Mem	Network
09532112092013	16.7	4.57124392886068	0.049
09540112092013	14.3	4.57712337378228	0.182
09550112092013	14.3	4.60022469278675	0.142
09560112092013	16.7	4.59598659290576	0.125
09570112092013	0	4.62680468336984	0.156
09580112092013	14.3	4.59860784543331	0.122
09590112092013	0	4.58996016186112	0.15
10000112092013	0	4.57629045241839	0.101
10010112092013	0	4.62327701641688	0.161
10020112092013	0	4.64052338818692	0.661
10030112092013	0	4.59145452077869	0.125
10040112092013	0	4.59094006934805	0.179
10050112092013	0	4.59177299071195	0.084
10060112092013	14.3	4.61117515895324	0.134
10070112092013	25	4.5757270056134	0.11
10080212092013	0	4.57531054493145	0.222
10090212092013	28.6	4.65600592648048	0.551
10100112092013	0	4.62425692390381	0.088
10110112092013	25	4.6259227666316	0.522
10120112092013	0	4.62428142159099	0.431
10130112092013	14.3	4.61551124958293	0.125
10140112092013	14.3	4.61021974915348	0.094
10150112092013	14.3	4.63366403577838	0.477
10160112092013	14.3	4.60813744574375	0.134
10170112092013	14.3	4.62045978239194	0.158
10180112092013	14.3	4.61827948823352	0.413
10190112092013	16.7	4.61854896279242	0.523
10200212092013	0	4.6159032125777	0.508
10210112092013	0	4.61649115706986	0.131
10220112092013	0	4.63099378787649	0.192
10230112092013	0	4.65642238716243	0.496
10240112092013	0	4.63363953809121	0.176
10250212092013	14.3	4.63302709591188	0.153
10260112092013	16.7	4.63212068148646	0.246
10270112092013	0	4.63393351033729	0.133
10280112092013	25	4.63253714216841	0.16
10290112092013	14.3	4.63248814679406	0.329
10300212092013	0	4.63177771386603	0.093
10310112092013	14.3	4.63359054271686	0.101
10320112092013	0	4.63390901265012	0.088
10330112092013	14.3	4.63371303115273	0.116
10340112092013	14.3	4.63265963060427	0.089
10350112092013	14.3	4.63574633918812	0.13
10360112092013	16.7	4.63305159359905	0.097
10370112092013	16.7	4.63532987850617	0.115
10380112092013	0	4.63182670924038	0.066
10390112092013	0	4.63471743632684	0.122
10400112092013	16.7	4.63442346408076	0.132
10410112092013	0	4.63523188775748	0.106
10420212092013	14.3	4.63351704965534	0.192
10430112092013	14.3	4.63498691088574	0.121
10440112092013	0	4.63248814679406	0.161
10450112092013	0	4.63136125318409	0.185
10460112092013	14.3	4.63601581374702	0.394
10470212092013	14.3	4.62442840771403	0.108
10480112092013	14.3	4.63057732719454	0.074
